"How, if in any way, this course helped you prepare for school opening after COVID-19?",The independent online work activities were well-designed to help me meet the learning targets.,The Zoom meeting activities were well-designed to help me meet the learning targets.,I felt a sense of community with the other participants in this course even though we were meeting virtually.,This course helped me navigate remote and/or hybrid learning during COVID-19.
NA,Agree,Agree,Agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Learning activities,Agree,Agree,Agree,Strongly agree
by breaking down and selectively looking at the needs of students and how to deliver intentionally and support students through a combination of learning styles (hybrid etc.),Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
Specific planning was discussed in group breakout sessions,Agree,Strongly agree,Strongly agree,Strongly agree
Organizing my thoughts/ideas,Agree,Strongly agree,Strongly agree,Strongly agree
virtual learning,Strongly agree,Strongly agree,Strongly agree,Agree
It has helped me with knowing what to teach to the students in person (online/classroom) and what they can do on their own.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Better understanding of unpacking lessons for online instruction,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Specific planning was discussed in group breakout sessions,Agree,Strongly agree,Strongly agree,Strongly agree
The Guidebooks Unit Unpacking course helped me get very clear on what I need to be very intentional about when making decisions around what aspects of the unit and lessons are high-leverage. Making sure to support students in both synchronous and asynchronous learning will demand that teachers have a clear understanding of the skills and knowledge taught throughout the unit. This training helped solidify this for me and has triggered my understanding of planning to better address students' needs.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Understanding synchronous and asynchronous learning.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Organizing my thoughts/ideas,Agree,Strongly agree,Strongly agree,Strongly agree
Helped me start thinking about how to plan for distance learning.,Strongly agree,Agree,Agree,Strongly agree
recognizing synchronous vs. asynchronous,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It has helped me focus on what/how to deliver content in a non-traditional manner,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Unpacking with other teachers extremely beneficial!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped provide some info as to how to prepare and get lessons out to students.,Agree,Strongly agree,Strongly agree,Strongly agree
Understanding the difference in synchronous and asynchronous,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Focusing on what is important for in class learning vs. independent learning!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
The last breakout group was the most beneficial in trying to plan for virtual element of school opening.,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
It’s helped me in my planning of online lessons,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped me to begin the proccess of understanding WHAT lessons should be async/sync.,Strongly agree,Agree,Agree,Strongly agree
It helped me better prepare for what's considered synchronous and asynchronous material,Strongly agree,Strongly agree,Strongly agree,Strongly agree
To better decipher which standards are high leverage,Strongly agree,Strongly agree,Strongly agree,Strongly agree
By collaborating with colleagues to discuss ways in which to prepare.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
All was great,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Collaborating with other teachers and the instructor to discuss what lessons could be taught asynchronously versus synchronously.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Ideas for unpacking the unit,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It was something new with many areas that will help my students when we do return.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Hopefully to provide a focus for the curriculum.,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree
more in depth understanding of the why behind the curriculum,Agree,Strongly agree,Strongly agree,Neither agree nor disagree
It has given me clarity on the curriculum.,Agree,Agree,Agree,Strongly agree
I don't think this course was designed to help with school after covid.,Neither agree nor disagree,Strongly agree,Strongly agree,Agree
Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"It demonstrated different methods, protocols and strategies.",Strongly agree,Agree,Strongly agree,Strongly agree
I learned more about the virtual tools and technology a little bit to possibly work with students.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
more understanding,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Virtual classroom practice...,Strongly agree,Agree,Strongly agree,Strongly agree
I feel more confident with what I am dealing with. I would like to see it actually taught in the middle school level.,Agree,Agree,Agree,Agree
Feel better prepared to support teachers in implementation,Strongly agree,Strongly agree,Strongly agree,Agree
Begin with a vision and understand the foundation of the EL curriculum.,Agree,Agree,Agree,Agree
We didn't discuss this topic.,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree
"It helped me understand EL in general, especially the design of the curriculum. This format also gave me ideas on how to teach virtually,",Strongly agree,Strongly agree,Strongly agree,Agree
It has provided me an oppotunity to see the curriculum through a virtual route so I know what it looks like if we have to do this again.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I have a better understanding of how to access the supports and where. I have a better understanding of how everything is connected to the performance task, along with the importance of backwards planning. I learned more about the implementation of the RTTW and will be better prepared to teach when I return to school.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
