date_for_the_session,professional_training_session,select_your_site_district_parish_or_network,select_the_best_description_for_your_role,select_the_grade_band_s_you_focused_on,learning_session_satisfaction,todays_topic_was_relevant_for_my_role,designed_to_help_me_learn,learning_to_try_out,likely_to_apply_46_weeks,select_the_name_of_your_first_facilitator,s_he_facilitated_the_content_clearly_12,s_he_effectively_built_a_community_of_learners_13,did_you_have_a_second_facilitator,select_the_name_of_your_second_facilitator,s_he_facilitated_the_content_clearly_16,s_he_effectively_built_a_community_of_learners_17,overall_what_went_well_in_this_professional_learning,which_activities_best_supported_your_learning,what_could_have_improved_your_experience,likely_to_recommend_colleague_friend,why_did_you_choose_this_rating,do_you_have_additional_comments
2019-10-16,"EL K-5 BootCamp, Day 1",Massachusetts DESE,NA,NA,NA,NA,NA,Use of other websites to gain more ideas and information,NA,Octavia,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,9,"well organized, very knowledgeable",NA
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,engaging in reading complex and non complex text and compare the two,Strongly agree,Hannah,Strongly agree,Strongly agree,NA,NA,NA,NA,the role switch between teacher and presenter,read and say,more time to browse the curriculum,8,on one day experience,looking forward to tomorrow
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,"Instructional shifts, text complexity",Strongly agree,Hannah,Strongly agree,Strongly agree,NA,NA,NA,NA,Very informational,All,more time to debrief,10,I was impressed,no
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,I liked learning about the text dependent questions.,Agree,Hannah,Agree,Agree,NA,NA,NA,NA,The discussion went well.,Partner discussion supported my learning.,Having a variety of text could have improved my experience,9,The information was clear.,NA
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Neither agree nor disagree,Agree,Neither agree nor disagree,How to have students use text evidence.,Agree,Hannah,Agree,Agree,NA,NA,NA,NA,Question complexity,Reading the text and identifying what the biggest analyzing questions are,More hands on,7,7,N/a
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Comparing pre shift lesson to post shift lesson,Strongly agree,Hannah,Strongly agree,Strongly agree,NA,NA,NA,NA,seeing the difference in lessons pre and post shifts,Finding evidence of the shifts in lesson plan,How to find the lesson plans online!,8,I don't like being treated like a student at a PD!,NA
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Neither agree nor disagree,Agree,Neither agree nor disagree,complex questioning,Agree,Hannah,Agree,Strongly agree,NA,NA,NA,NA,structure and explanation,analyzing texts and questions,learning how I can make this accessible to nonreaders and nonverbal students,8,im not familiar with EL yet,NO
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Agree,Agree,Agree,Exposure to real world events with interesting topics.,Agree,Hannah,Agree,Agree,NA,NA,NA,NA,The discussions,Working with peers,More movement,7,Hannah was great,NA
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Agree,Agree,Agree,A new vision for how to approach the text and materials.,Agree,Hannah,Agree,Agree,NA,NA,NA,NA,Looking through materials,"Looking at the text, comparing and contrasting",Seeing a video of the lessons done with diverse learners,8,Helpful to have a space to discuss these concerns,NA
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,The shifts,Strongly agree,Hannah,Strongly agree,Strongly agree,NA,NA,NA,NA,Well prepared,The shifts,Everything was good,10,Excellent,No
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Agree,Strongly agree,Agree,Excited about applying more non-fiction texts to class. How to include text-dependent questions and teach students how to identify evidence in the text to support their answers.,Agree,Hannah,Strongly agree,Strongly agree,NA,NA,NA,NA,"About everything, no complaints",Group discussions and share outs,More time for peer discussion,9,"I learned a lot and look forward to learning more. Ms. Hannah was clear,explicit , and engaging in her instruction.",NA
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Building background knowledge,Strongly agree,Hannah,Strongly agree,Strongly agree,NA,NA,NA,NA,Pre and post lesson,Independent reading time,More resources,10,The modules are too workday and a lot to work through,Just need more info. Maybe videos of teachers using this curriculum
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,ELL support,Strongly agree,Hannah,Strongly agree,Strongly agree,NA,NA,NA,NA,I came late but I felt connecting the shifts to EL made it easier to understand,Working with the side by side text to see the difference in complexity,Using complexity of text to teach strategies,10,It gave many resources,NA
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Teaching into text complexities and different protocols.,Strongly agree,Hannah,Strongly agree,Strongly agree,NA,NA,NA,NA,Teacher engagement to better each of their practices.,Analyzing the curriculum and understanding what a shift is.,Personal background knowledge on the curriculum.,10,This session was very beneficial to my teaching practice.,NA
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Vocabulary building,Strongly agree,Hannah,Strongly agree,Strongly agree,NA,NA,NA,NA,Yes,Talking with others,Nothing,10,I learned more information,Great presenter . Very knowledgeable
2019-11-04,"EL K-5 BootCamp, Day 1","NYC District 11, PS 41",Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,using the module overview,Strongly agree,Hannah,Strongly agree,Strongly agree,NA,NA,NA,NA,communication and staying present,discussions with colleagues,nothing,10,"I feel it helps with our curriculum, however I wish we had gotten this training prior to September.",No
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Cycle of inquiry,Agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,The facilitator was engaging. What he was presenting was received well because he is a teacher who does what he’s presenting about.,Doing what the students would actually be doing and looking at the curriculum addresses the instructional shifts.,Discussing different classroom settings,10,I found it very helpful. Especially the sustainability of it.,NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Focus on the instructional shifts,Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,Justin conducted the PD as if we were the students in his classroom which made for a more productive experience,Unpacking the instructionalshifts and how to apply it in the classroom,Justin was very informative,10,"Justin was informative and he clearly buys into this head, heart and habit",NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",School-based administrator or supervisor,"Grades K-2, Grades 3-5",Strongly agree,Strongly agree,Strongly agree,Building knowledge through multiple texts,Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,the collaboration of staff,The pre and post shifts experience,N/A,10,Because the facilitation and materials,NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Agree,Agree,Agree,Being able to creat better habits as I try to align the curriculum and standards in my teaching practice,Neither agree nor disagree,Justin,Agree,Agree,No,NA,NA,NA,Having meaningful conversation with colleagues about the professional learning and it’s impact on the shifts,"Looking at the curriculum to figure out the complexity, evidence and knowledge",Having more time for PDs,7,I’m on my way to build more knowledge,No
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Piloting a unit this year to go through a cycle of inquiry.,Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,Today teachers participated in a learning environment as a student and then was able to look at curriculum that we will be actually teaching.,looking at the complex text and comparing it to pre- shift text and dependent questions.,"Nothing, this experience was great and I am ready to take on the new curriculum.",10,I can actually leave with something and I think this PD is something important for other colleagues to learn.,NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Agree,Agree,Agree,"I am very excited about applying the head, heart, and habits framework.",Agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,The depth and detail of the curriculum,Unpacking the instructional shifts,N/A,10,Everything was explained very clear and informative,NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Integrating rich EL content into our curriculum.,Agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,Everything went very well.,Overview of the Text Complexity Analysis.,More time.,7,It's a realistic choice to me.,No.
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Learning and applying the instructional shifts,Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,The presentation and the presenter were wonderful.,The hands on example of the shift with the story of Jupiter.,Nothing,9,I thought it was a very informative presentation.,None
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Pre and Post instructional shift,Agree,Justin,Agree,Agree,No,NA,NA,NA,It ties into what I am doing currently.,"Head, Heart & Habits",N/A,9,Informative,N/A
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",School-based coach,Grades K-2,Strongly agree,Strongly agree,Strongly agree,supporting the teachers that I work with in understanding the curriculum,Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,it was simple to understand and it was the perspective from a classroom teacher,all of the activities especially the text that we had to annotate,everything was great,10,because it was simply delivered.,NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly disagree,Strongly agree,Strongly agree,The shift in literacy,Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,I love the opening and ending circle. I loved how the facilitator made Gave an opportunity to put the student hat on in order to understand the shifts.,The reading of the passages and answering the questions,It was great,10,He was thorough in his delivery but also very nice about it...made me feel like one of my colleagues.,No
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Complete module curriculum,Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,Unpacked Instructional shifts and how important they are in our classroom.,Looking at current unit if study...Peter Pan.,Not sure,10,It was a very good PD given by a teacher who is still in the classroom.,NA
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,inquiry cycles with full knowledge of cir,Strongly agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,"Everything, justin was clear and answered all questions. He was very knowledgeable",unpacking the text,nothing,10,Because this PD was very informative. Justin was awesome,No
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Sub teacher,Grades 3-5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,HeAd heart training,Neither agree nor disagree,Justin,Neither agree nor disagree,Neither agree nor disagree,No,NA,NA,NA,Information explained well,Head heart activity,N/a,6,Wasn’t here for the entire training,I was told to come her after my class was dismissed only was apart of 1 activity
2020-02-03,"EL K-5 BootCamp, Day 1","NYC District 11, PS 121",Teacher or specialist,Grades 6-8,Agree,Strongly agree,Strongly agree,Involving more questions that are focused on evidence that could be found in the text.,Agree,Justin,Strongly agree,Strongly agree,No,NA,NA,NA,The facilitator was very knowledgable and helpful,The turn and talks,Having more time reading the texts.,9,I based it on the facilitator and what we learned,NA
