Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you want to take this survey in English or Spanish?¿Quieres responder la encuesta en inglés o español?,Please ask your teacher for their teacher code.,What is the name of your district and school?,,What grade are you currently enrolled in?,What is your gender?,Are you Hispanic/Latino/a?,What is your ethnicity? Select all that apply.,,,,,,,How often do you speak English at home? ,How much do you agree or disagree with the statements below?,,,,"For you personally, how true or not true is the statement below? (Select only one)",How much do you agree or disagree with the statement below? (Select one only),How much do you agree or disagree with the statements below?,,,,,How much do you agree or disagree with the statements below?,,,,"When reading the following statements, think about your current math class and decide how well the statements describe you.",,,,,,,,,,,,,How often does your math teacher do each of the following?,,"Por favor, pídele a tu profesor/a su código.",Selecciona el nombre de tu distrito escolar y escuela.,,"¿Actualmente, en qué grado estás matriculado?",¿Cuál es tu sexo/género?,¿Eres hispano / latino/a?,¿Cuál es tu raza/origen étnico? (seleccione todas las que correspondan),,,,,,,¿Qué tan frecuente hablas inglés en tu casa?,¿En qué medida estás de acuerdo o en desacuerdo con las siguientes declaraciones?,,,,"Para ti personalmente, ¿qué tan verdadera o no verdadera es la siguiente declaración? (Seleccione solo uno)",¿En qué medida está de acuerdo o en desacuerdo con la siguiente declaración? (Seleccione solo uno),¿En qué medida está de acuerdo o en desacuerdo con las siguientes declaraciones?,,,,,¿En qué medida está de acuerdo o en desacuerdo con las siguientes declaraciones?,,,,"Al leer las siguientes declaraciones, piensa en tu actual clase de matemáticas y decide qué tan bien te describen estas declaraciones.",,,,,,,,,,,,,¿Con qué frecuencia su profesor de matemáticas hace cada uno de los siguientes?,
,,,,,,,,,Response,Open-Ended Response,Response,Other (please specify),Response,Response,Response,American Indian or Alaska Native,Native Hawaiian or other Pacific Islander,Black or African American,Asian,White,More than one race,Other (please specify),Response,"If you want to succeed in math, hard work alone just won’t cut it; you need to have a natural gift or talent","You have a certain amount of intelligence, and you really can’t do much to change it","When you have to try really hard in a subject in school, it means you can’t be good at that subject",Being a “math person” or not is something that you really can’t change. Some people are good at math and other people aren’t,My math teacher thinks failure helps us learn and grow.,My math teacher believes that everybody in my class can be very good at math.,I usually do well in math.,I am good at working out difficult math problems.,I believe that I can be successful in my math class.,I am confident that I can understand the material in my math class.,I know I can learn the materials in my math class.,I enjoy learning math.,I learn many interesting things in math.,I like to solve math problems.,I like math.,I don't think that hard when I am doing work for class.,I go through the work for math class and make sure that it's right.,"When work is hard, I only study the easy parts.",I think about different ways to solve a problem.,I try to connect what I am learning to things I have learned before.,I want to understand what is learned in math.,I talk about math outside of class.,I do other things when I am supposed to be paying attention.,I would rather be told the answer than have to do the work.,I keep trying even if something is hard.,I stay focused in math class.,I feel good when I am in math class.,I try to understand my mistakes when I get something wrong.,My math teacher uses examples of students’ different cultures/backgrounds/families in their lessons.,My math teacher respects my culture and background.,Open-Ended Response,Response,Other (please specify),Response,Response,Response,Indio Americano o Nativo de Alaska,Nativo de Hawái o Isleño del Pacifico,Negro o afroamericano,Asiático,Blanco,Más de una raza/origen étnico,Other (please specify),Response,"Si tú quieres tener éxito en matemáticas, el trabajo duro por sí solo no será suficiente; tú necesitas tener un don o talento natural",Tú tienes una cierta cantidad de inteligencia y tu realmente no puedes hacer mucho para cambiarla,"Cuando tienes que esforzarte mucho en una materia en la escuela, significa que no puedes ser bueno en esa materia","Ser un ""persona matemática” o no es algo que realmente no puedes cambiar. Algunas personas son buenas en matemáticas y otras no",Mi maestro/a de matemáticas cree que el fracaso nos ayuda a aprender y a crecer.,Mi maestro/a de matemáticas cree que todos en mi clase pueden ser muy buenos en matemáticas.,Generalmente me va bien en matemáticas,Soy bueno/a resolviendo problemas difíciles de matemáticas,Creo que puedo tener éxito en mi clase de matemáticas.,Estoy seguro/a de que puedo entender el material en la clase de matemáticas.,Yo sé que puedo aprender los materiales en mi clase de matemáticas.,Yo disfruto aprendiendo matemáticas,Yo aprendo muchas cosas interesantes en matemáticas,A mí me gusta resolver problemas de matemáticas,A mí me gustan las matemáticas,Yo no tengo que pensar tanto cuando estoy trabajando para la clase.,Yo reviso el trabajo para la clase de matemáticas y me aseguro de que esté bien,"Cuando el trabajo es difícil, yo solo estudio las partes fáciles",Yo pienso en diferentes formas de resolver un problema.,Yo intento conectar lo que estoy aprendiendo con las cosas que he aprendido antes.,Yo quiero entender lo que se aprende en matemáticas,Yo hablo de matemáticas fuera de la clase,Yo hago otras cosas cuando se supone que debo estar prestando atención,Yo prefiero que me digan la respuesta a tener que hacer el trabajo,Yo sigo intentándolo incluso si algo es difícil,Yo me mantengo concentrado en la clase de matemáticas,Yo me siento bien cuando estoy en la clase de matemáticas,Yo trato de entender mis errores cuando me equivoco en algo,Mi maestro/a de matemáticas usa ejemplos relacionados con las diferentes culturas/orígenes/familias de los estudiantes durante sus lecciones,Mi maestro/a de matemáticas respeta mi cultura y origen
13508776083,410322128,07/04/2022 09:21:35 PM,07/04/2022 09:21:41 PM,74.88.91.222,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13506636674,410322128,06/30/2022 07:09:06 PM,06/30/2022 07:09:13 PM,96.51.225.37,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13504122991,410322128,06/27/2022 04:33:50 PM,06/27/2022 04:38:27 PM,50.49.145.82,,,,,English / inglés, ELH0428,Rochester City School District - School 5,,7,Female,No,,,,Asian,,,,Almost always,Mostly disagree,Strongly disagree,Strongly disagree,Disagree,Very true,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree a little,Agree a little,Agree a lot,Agree a lot,Not much like me,Mostly like me,Not at all like me,Mostly like me,Very much like me,Very much like me,Not much like me,Not much like me,Somewhat like me,Very much like me,Mostly like me,Very much like me,Very much like me,Some of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501822867,410322128,06/23/2022 06:32:10 PM,06/23/2022 06:33:38 PM,72.225.55.16,,,,,English / inglés,GME1008,Rochester City School District - Wilson Foundation,,7,Male,Yes,,,,Asian,,,,Almost always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501348076,410322128,06/23/2022 06:43:17 AM,06/23/2022 06:48:38 AM,23.190.208.164,,,,,English / inglés,gme1008,Rochester City School District - Wilson Foundation,,7,Female,Yes,,,,,,More than one race,,Almost always,Disagree,Disagree,Strongly disagree,Mostly disagree,Somewhat true,Agree,Slightly agree,Slightly disagree,Agree,Agree,Agree,Disagree a lot,Agree a little,Disagree a lot,Disagree a lot,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Not at all like me,Somewhat like me,Somewhat like me,Somewhat like me,Not much like me,Not at all like me,Somewhat like me,Most or all of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501345067,410322128,06/23/2022 06:40:30 AM,06/23/2022 06:46:11 AM,23.190.208.164,,,,,English / inglés,gme1008,Rochester City School District - Wilson Foundation,,7,Female,No,,,Black or African American,,,,,Almost always,Mostly disagree,Disagree,Disagree,Disagree,Somewhat true,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly agree,Disagree a lot,Disagree a lot,Disagree a lot,Disagree a lot,Not much like me,Not much like me,Not much like me,Not at all like me,Not much like me,Not at all like me,Not at all like me,Very much like me,Very much like me,Not much like me,Not much like me,Not much like me,Not much like me,Most or all of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501341141,410322128,06/23/2022 06:35:27 AM,06/23/2022 06:42:14 AM,23.190.208.164,,,,,English / inglés,GME1008,Rochester City School District - Wilson Foundation,,7,Female,No,,,Black or African American,,,,,Always,Mostly agree,Mostly agree,Disagree,Mostly agree,Very true,Slightly disagree,Slightly agree,Agree,Disagree,Slightly agree,Slightly agree,Disagree a lot,Disagree a lot,Disagree a lot,Disagree a lot,Not much like me,Somewhat like me,Somewhat like me,Mostly like me,Somewhat like me,Somewhat like me,Not at all like me,Not much like me,Not much like me,Mostly like me,,Not at all like me,Mostly like me,Most or all of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501340952,410322128,06/23/2022 06:35:09 AM,06/23/2022 06:40:16 AM,23.190.208.164,,,,,English / inglés,gme1008,Rochester City School District - Wilson Foundation,,7,Non-binary,No,,Native Hawaiian or other Pacific Islander,Black or African American,,,,,Almost always,Disagree,Mostly disagree,Disagree,Mostly disagree,Somewhat true,Agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,Agree a little,Agree a little,Agree a lot,Disagree a little,Mostly like me,Not much like me,Somewhat like me,Mostly like me,Very much like me,Somewhat like me,Not at all like me,Somewhat like me,Somewhat like me,Not much like me,Mostly like me,Not much like me,Not at all like me,Once in a while,Once in a while,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501340086,410322128,06/23/2022 06:33:54 AM,06/23/2022 06:39:42 AM,23.190.208.164,,,,,English / inglés,GME1008,Rochester City School District - Wilson Foundation,,7,Female,No,,,,Asian,,,,Always,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very true,Strongly agree,Agree,Slightly agree,Agree,Agree,Strongly agree,Agree a little,Disagree a little,Agree a little,Agree a little,Not much like me,Mostly like me,Somewhat like me,Somewhat like me,Mostly like me,Somewhat like me,Somewhat like me,Somewhat like me,Not much like me,,Mostly like me,Not much like me,Somewhat like me,Once in a while,Some of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
