survey_id,collector_id,respondent_id,date_created,date_modified,response_status,ip_address,"What is the name of your child's school, district, or parish?","What is the name of your child's school, district, or parish? - Other (please specify)",What grade level is your child currently enrolled in?,What grades does your child typically earn in math class?,Gender: How does your child identify?,How do you describe your child’s race? You may check more than one box. - Native American Indian or Alaska Native,How do you describe your child’s race? You may check more than one box. - Asian,How do you describe your child’s race? You may check more than one box. - Black or African American,How do you describe your child’s race? You may check more than one box. - Native Hawaiian or Other Pacific Islander,How do you describe your child’s race? You may check more than one box. - White,How do you describe your child’s race? You may check more than one box. - Prefer not to say,How do you describe your child’s race? You may check more than one box. - Other (please specify),How do you describe your child’s ethnicity?,How often do you speak English at home?,Please indicate your level of agreement with the following statements. - I know how to contact my child’s teacher(s) if I have questions or concerns.,Please indicate your level of agreement with the following statements. - I feel comfortable reaching out to my child’s teacher if I have questions or concerns,Please indicate your level of agreement with the following statements. - I am satisfied with how often my child’s teacher engages with me.,Please indicate your level of agreement with the following statements. - My child’s teacher communicates with me or other family members about my child’s educational progress.,Please indicate your level of agreement with the following statements. - My child’s teacher structures parent-teacher conferences so that the meeting is not intimidating for me or other family members attending.,Please indicate your level of agreement with the following statements. - My child’s teacher establishes positive home-school relationships.,"Please indicate your level of agreement with the following statements. - My child’s teacher communicates with me or family members of my child in positive ways, not just when there is a problem.",Please indicate your level of agreement with the following statements. - My child is excited to go to class.,Please indicate your level of agreement with the following statements. - My child is comfortable talking to their teacher.,Please indicate your level of agreement with the following statements. - My child can get the help they need to complete their schoolwork.,Please indicate your level of agreement with the following statements. - My child’s teacher regularly shares detailed feedback on my child’s work.,Please indicate your level of agreement with the following statements. - The work my child is being asked to do is helping them learn new things.,How many assignments does your child complete?,Which best matches your belief about your child’s experience so far this year?,teacher
318058603,415176619,13477985344,2022-05-22T20:26:47Z,2022-05-22T20:29:23Z,completed,107.133.44.180,"Vicksburg Intermediate - Vicksburg-Warren County School District, MS",NA,3,Mostly Fs,Male,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,4- Agree,4- Agree,5- Strongly agree,4- Agree,Most of their assignments,My child has learned a lot this year.,Shannon McGhee
318058603,415176619,13475279060,2022-05-19T00:39:11Z,2022-05-19T00:47:20Z,completed,172.58.147.81,"Joseph L. Frazier Elementary, Natchez-Adams School District, MS",NA,4,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,4- Agree,4- Agree,4- Agree,1- Strongly disagree,1- Strongly disagree,5- Strongly agree,I'm not sure.,4- Agree,4- Agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Danessa McCullin
318058603,415176619,13474978170,2022-05-18T17:50:55Z,2022-05-18T18:09:56Z,partial,107.122.109.48,"Vicksburg Intermediate - Vicksburg-Warren County School District, MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heather Kealhofer
318058603,415176619,13474872047,2022-05-18T16:21:42Z,2022-05-18T16:27:01Z,completed,107.123.33.43,"Durant Elementary - Holmes County Consolidated School District, MS",NA,4,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Thomas Keys
318058603,415176619,13474267967,2022-05-18T00:53:24Z,2022-05-18T00:55:41Z,completed,160.3.246.46,"Sale Elementary - Columbus Municipal School District, MS",NA,4,Mostly Bs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Jasmine Carter
318058603,415176619,13473276890,2022-05-17T01:25:26Z,2022-05-17T01:27:56Z,completed,69.148.144.217,"Morgantown Middle School, Natchez-Adams School District, MS",NA,NA,Mostly Ds,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,2- Disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,2- Disagree,3- Neither agree nor disagree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,Most of their assignments,My child has learned a little this year.,Eddie Smith
318058603,415176619,13473268079,2022-05-17T01:07:00Z,2022-05-17T01:11:26Z,completed,107.212.252.208,"Morgantown Middle School, Natchez-Adams School District, MS",NA,8,Mostly Ds,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,3- Neither agree nor disagree,1- Strongly disagree,3- Neither disagree nor agree,4- Agree,4- Agree,1- Strongly disagree,4- Agree,All of their assignments,My child has learned some this year.,Natasha Patten
318058603,415176619,13473207021,2022-05-16T23:22:18Z,2022-05-16T23:26:21Z,completed,24.116.37.18,"Sale Elementary - Columbus Municipal School District, MS",NA,4,Mostly Bs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,2- Disagree,4- Agree,All of their assignments,My child has learned a lot this year.,Jasmine Carter
318058603,415176619,13473058228,2022-05-16T20:06:32Z,2022-05-16T20:14:16Z,completed,172.13.214.75,"Joseph L. Frazier Elementary, Natchez-Adams School District, MS",NA,NA,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,I'm not sure.,4- Agree,Few of their assignments,My child has learned a lot this year.,Danessa McCullin
318058603,415176619,13472995178,2022-05-16T18:57:17Z,2022-05-16T18:59:21Z,completed,50.86.50.167,"Morgantown Middle School, Natchez-Adams School District, MS",NA,7,Mostly Cs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,3- Neither agree nor disagree,2- Disagree,3- Neither agree nor disagree,4- Agree,4- Agree,2- Disagree,4- Agree,4- Agree,2- Disagree,2- Disagree,All of their assignments,My child has learned some this year.,Eddie Smith
