id,question,prepost,site,percent,know_assess
bdl1212,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",100,ela_school_leaders
bdl1212,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",100,ela_school_leaders
bdl1212,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
bdl1212,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
bxp1019,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
bxp1019,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
bxp1019,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",100,ela_school_leaders
bxp1019,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
dad0314,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
dad0314,Which of the following are literacy instructional shifts?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
dad0314,Which of the following describes effective feedback to a teacher following an observation?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
dad0314,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,"NYC District 11 - District-wide, NY",0,ela_school_leaders
elh1023,Which of the following are examples of text-specific questions?,pre,Rochester City School District - District-wide,0,ela_school_leaders
elh1023,Which of the following are literacy instructional shifts?,pre,Rochester City School District - District-wide,0,ela_school_leaders
elh1023,Which of the following describes effective feedback to a teacher following an observation?,pre,Rochester City School District - District-wide,0,ela_school_leaders
elh1023,Which of the following statements are true about the purpose of the Instructional Practice Guide (IPG)?,pre,Rochester City School District - District-wide,0,ela_school_leaders
hlg0574,Which of the following are examples of text-specific questions?,pre,"NYC District 11 - District-wide, NY",50,ela_school_leaders
