survey_id,collector_id,respondent_id,date_created,date_modified,response_status,ip_address,"What is the name of your school, district, or parish?",Please ask your teacher for their teacher code.,What is your gender?,Are you Hispanic / Latino/a?,What is your race? Select all that apply. - American Indian or Alaska Native,What is your race? Select all that apply. - Native Hawaiian or other Pacific Islander,What is your race? Select all that apply. - Black or African American,What is your race? Select all that apply. - Asian,What is your race? Select all that apply. - White,What is your race? Select all that apply. - More than one race,What is your race? Select all that apply. - Prefer not to answer,What is your race? Select all that apply. - Other (please specify),How often do you speak English at home? ,What grade level are you currently enrolled in?,How often does your teacher do these things? - My teacher explains what we are learning in different ways to help students learn.,How often does your teacher do these things? - My teacher wants students from different cultures to respect one another.,How often does your teacher do these things? - My teacher uses what I already know to help me understand new ideas.,How often does your teacher do these things? - My teacher uses examples from my culture when teaching.,How often does your teacher do these things? - My teacher asks about ways that students’ cultures may be different from others.,How often does your teacher do these things? - My teacher helps students learn about other students and their cultures.,How often does your teacher do these things? - My teacher asks about students’ home life.,How often does your teacher do these things? - My teacher treats all students like they are important members of the classroom.,To what extent do you agree or disagree with the following statements? - This class is a happy place for me to be.,"To what extent do you agree or disagree with the following statements? - In this class, I feel like I belong.",To what extent do you agree or disagree with the following statements? - Being in this class makes me feel sad or angry.,To what extent do you agree or disagree with the following statements? - The things we have done in class this year are interesting.,"To what extent do you agree or disagree with the following statements? - Because of this teacher, I am learning to love this subject.",To what extent do you agree or disagree with the following statements? - I enjoy this subject this year.,To what extent do you agree or disagree with the following statements? - My teacher makes me feel that he/she really cares about me.,To what extent do you agree or disagree with the following statements? - I like the way my teacher treats me when I need help.,To what extent do you agree or disagree with the following statements? - My teacher seems to know if something is bothering me.,To what extent do you agree or disagree with the following statements? - I can do almost all the work in this class if I don’t give up.,"To what extent do you agree or disagree with the following statements? - Even when work is hard, I know I can learn it.",To what extent do you agree or disagree with the following statements? - I'm certain I can master the skills taught in this class.,"To what extent do you agree or disagree with the following statements? - When doing work for this class, I focus on learning, not the time work takes.",To what extent do you agree or disagree with the following statements? - I have been able to figure out the most difficult work in this class.,To what extent are the following statements true or not true? - My teacher makes sure that I try to do my best.,"To what extent are the following statements true or not true? - In this class, we learn a lot almost every day.","To what extent are the following statements true or not true? - In this class, we learn to correct our mistakes.","To what extent are the following statements true or not true? - In this class, my teacher accepts nothing less than our full effort.","To what extent are the following statements true or not true? - My teacher wants us to use our thinking skills, not just memorize things.",teacher
312653807,410320781,13482466720,2022-05-28T01:42:39Z,2022-05-28T01:49:52Z,completed,96.18.236.67,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,NA,NA,White,NA,NA,NA,Always,6,5- Always,5- Always,4- A lot,3- Sometimes,NA,NA,NA,NA,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,5- Agree,4- Somewhat agree,5- Agree,NA,5- Agree,NA,5- Agree,5- Agree,3- Neither disagree nor agree,5- Agree,5- Agree,5- Totally true,4- Mostly true,5- Totally true,3- Neither true nor untrue,5- Totally true,Ms. Wesley
312653807,410320781,13482465928,2022-05-28T01:38:50Z,2022-05-28T01:41:08Z,partial,96.18.236.67,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,NA,NA,White,NA,NA,NA,Always,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dr. Brown
312653807,410320781,13479370483,2022-05-24T13:20:38Z,2022-05-24T13:33:50Z,completed,173.235.40.25,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,3,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,1- Never,5- Always,5- Agree,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,4- Mostly true,5- Totally true,5- Totally true,5- Totally true,Katrina Wallace
312653807,410320781,13479366919,2022-05-24T13:16:00Z,2022-05-24T13:26:02Z,completed,173.235.40.25,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,3,3- Sometimes,1- Never,3- Sometimes,3- Sometimes,1- Never,3- Sometimes,1- Never,3- Sometimes,5- Agree,1- Disagree,1- Disagree,5- Agree,5- Agree,5- Agree,1- Disagree,1- Disagree,1- Disagree,5- Agree,5- Agree,1- Disagree,5- Agree,1- Disagree,4- Mostly true,4- Mostly true,4- Mostly true,1- Totally untrue,1- Totally untrue,Katrina Wallace
312653807,410320781,13479363380,2022-05-24T13:12:51Z,2022-05-24T13:20:27Z,completed,173.235.40.25,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,3,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,1- Never,5- Always,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,4- Mostly true,5- Totally true,5- Totally true,5- Totally true,Katrina Wallace
312653807,410320781,13479362981,2022-05-24T13:12:13Z,2022-05-24T13:12:46Z,partial,173.235.40.25,"Mississippi Department of Education, MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ms. Wallace
312653807,410320781,13478690606,2022-05-23T17:46:56Z,2022-05-23T17:58:25Z,completed,173.235.40.25,"Mississippi Department of Education, MS",NA,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,3,3- Sometimes,5- Always,4- A lot,3- Sometimes,4- A lot,2- Rarely,4- A lot,4- A lot,5- Agree,5- Agree,2- Somewhat disagree ,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,3- Neither disagree nor agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true,Katrina Wallace
312653807,410320781,13478677070,2022-05-23T17:33:40Z,2022-05-23T17:44:40Z,completed,173.235.40.25,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Almost always,3,4- A lot,3- Sometimes,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,3- Neither true nor untrue,3- Neither true nor untrue,2- Mostly untrue ,2- Mostly untrue ,2- Mostly untrue ,Katrina Wallace
312653807,410320781,13478667934,2022-05-23T17:23:23Z,2022-05-23T17:38:39Z,completed,173.235.40.25,"Mississippi Department of Education, MS",NA,Male,NA,NA,NA,NA,NA,NA,NA,Prefer not to answer,NA,Always,3,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,1- Never,5- Always,5- Agree,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true,Katrina Wallace
312653807,410320781,13478664235,2022-05-23T17:18:49Z,2022-05-23T17:21:58Z,completed,173.235.40.25,"Mississippi Department of Education, MS",NA,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,NA,Almost always,3,2- Rarely,2- Rarely,2- Rarely,2- Rarely,2- Rarely,2- Rarely,2- Rarely,2- Rarely,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Somewhat disagree ,2- Mostly untrue ,2- Mostly untrue ,2- Mostly untrue ,2- Mostly untrue ,2- Mostly untrue ,Katrina Wallace
