id,"response id","question id","choice id","question name","question content",choice
2345,85,1024,2345,Subject,"<p><span id=""docs-internal-guid-56978e54-7fff-17de-540c-74c7ed4747ba""><b>Which subject area do you/ do you expect to work with Teaching Lab on this year? </b></span><br></p>",Mathematics
2400,85,1040,2400,KMTH_SHF_02,"<p><span id=""docs-internal-guid-e28046a7-7fff-bf45-dc13-29abdea644b0""><b>What does “rigor” mean in math instruction, as defined by the instructional shifts? </b></span><br></p>","Giving students opportunities to develop deep commands of the how, why, and when of mathematical concepts."
2409,85,1042,2409,KMTH_EQI_03,"<p><span id=""docs-internal-guid-54e91075-7fff-4d86-6614-488c17ffe087""><b id=""docs-internal-guid-a8b2e328-7fff-1ce7-a05e-2047423fd689"">Please complete this statement: Eliciting and using student thinking is an equitable teaching practice because this practice...</b></span><br></p>","Give students a chance to share and develop their thinking."
2415,85,1043,2415,KMTH_SUL_01,"<p><span id=""docs-internal-guid-48140e55-7fff-d2d3-a605-69864c529e8c""><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Which of the following actions BEST describes equitable instructional strategies for supporting students with unfinished learning in math?&quot;}"" data-sheets-userformat=""{&quot;2&quot;:29056,&quot;10&quot;:1,&quot;11&quot;:4,&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11,&quot;17&quot;:1}""><b>Which of the following actions BEST describes equitable instructional strategies for supporting students with unfinished learning in math?</b></span></span><br></p>","Identifying unfinished learning leading up to the current topic and teach 1-2 lessons targeting those prerequisites at the beginning of the topic."
2431,85,1049,2431,MS_RC_01_A,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455"">Teachers should be color blind when it comes to their teaching - They shouldn’t think of their students in terms of their race or ethnicity.</b></b><br></p>","Strongly agree"
2433,85,1051,2433,Role,"<p><b id=""docs-internal-guid-c29a3b05-7fff-1ead-a75a-9e6e16f1f2d4"">Which of the following best describes your role?</b><br></p>","Coach, Leader, or Administrator"
2448,85,1057,2448,MS_RC_02_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-e9b14c3a-7fff-9dc8-d99a-3915f43d3248""><span style=""font-weight: bolder; font-size: 0.9375rem;"">The gap in the achievement among students of different races is about poverty, not race.</span></b></b></b><br></p>","Strongly agree"
2453,85,1059,2453,MS_EB_01_A,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212"">Teachers should keep in mind the limits of their students’ ability and give them assignments that they can do so that they do not become discouraged.</b></span></b></span></b></span></b></b></b><br></p>","Strongly agree"
2458,85,1061,2458,MS_EB_02_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-8c4f12ed-7fff-5750-5294-230a980e81ab"">Before students are asked to engage in complex learning tasks, they need to have a solid grasp of basic skills.</b></b></span></b></span></b></span></b></b></b><br></p>","Strongly agree"
2463,85,1063,2463,MS_EB_03_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-8c4f12ed-7fff-5750-5294-230a980e81ab""></b></b></span><b id=""docs-internal-guid-7562c9a5-7fff-c624-5b0a-83da61b07047"">It is not fair to ask students who are struggling with English to take on challenging academic assignments.</b></b></span></b></span></b></b></b><br></p>","Strongly agree"
2468,85,1064,2468,MS_EB_04_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-8c4f12ed-7fff-5750-5294-230a980e81ab""></b></b></span><b id=""docs-internal-guid-7562c9a5-7fff-c624-5b0a-83da61b07047""><b id=""docs-internal-guid-5710f0a5-7fff-dd42-7795-7d35212eedfa""><span style=""font-weight: bolder; font-size: 0.9375rem;"">Teachers should provide all students the opportunity to work with grade-level texts and tasks.</span><br></b></b></b></span></b></span></b></b></b></p>","Strongly agree"
2469,85,1065,2469,MS_GMS_01_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-8c4f12ed-7fff-5750-5294-230a980e81ab""></b></b></span><b id=""docs-internal-guid-7562c9a5-7fff-c624-5b0a-83da61b07047""><b id=""docs-internal-guid-5710f0a5-7fff-dd42-7795-7d35212eedfa""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-2bbd8a81-7fff-7f06-4bbe-27c643d27259"">To be honest, students have a certain amount of intelligence, and they really can’t do much to change it.</b></span><br></b></b></b></span></b></span></b></b></b></p>","Strongly disagree"
2474,85,1066,2474,MS_GMS_02_X,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-8c4f12ed-7fff-5750-5294-230a980e81ab""></b></b></span><b id=""docs-internal-guid-7562c9a5-7fff-c624-5b0a-83da61b07047""><b id=""docs-internal-guid-5710f0a5-7fff-dd42-7795-7d35212eedfa""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-2bbd8a81-7fff-7f06-4bbe-27c643d27259""><b id=""docs-internal-guid-6dcdcbc1-7fff-a362-5752-0658c6a66312"">Your intelligence is something about you that you can’t change very much.</b></b></span><br></b></b></b></span></b></span></b></b></b></p>","Strongly disagree"
2486,85,1069,2486,MS_ACC_01_A,"<p><b id=""docs-internal-guid-372bf957-7fff-d32d-e862-25e700c64d08""><b id=""docs-internal-guid-edfd1be6-7fff-07b3-808b-4da51e593455""><b id=""docs-internal-guid-25aa3810-7fff-d872-17f3-e9c2f37f40ac""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-da32abcc-7fff-5984-2d46-035782b2a047""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-a4f653fc-7fff-e7db-95cc-7059b51bbca6""><span style=""font-weight: bolder; font-size: 0.9375rem;""><b id=""docs-internal-guid-43bb60fb-7fff-c1fd-300a-40375e88b212""><b id=""docs-internal-guid-d021d05e-7fff-a603-2b07-ad8cedc0c037""><span style=""font-weight: bolder; font-size: 0.9375rem;"">If a child doesn’t learn something the first time, the teacher should try another way.</span></b></b></span></b></span></b></span></b></b></b><br></p>","Neither agree nor disagree"
