student_id,teacher_id,prepost,What is your student identification number as provided by your school or teacher?,What is the name of your school district or parish?,What is your gender?,Are you Hispanic/Latino/a?,What is your race? - American Indian or Alaska Native,What is your race? - Native Hawaiian or other Pacific Islander,What is your race? - Black or African American,What is your race? - Asian,What is your race? - White,What is your race? - More than one race,What is your race? - Other (please specify),How often do you speak English at home? ,What grade level of math are you currently enrolled in?,How often does your teacher do these things? - My teacher explains what we are learning in different ways.,How often does your teacher do these things? - My teacher uses what I already know to help me understand new ideas.,How often does your teacher do these things? - My teacher wants students from different cultures to respect one another.,How often does your teacher do these things? - My teacher treats all students like they are important members of the classroom.,How often does your teacher do these things? - My teacher uses examples from my culture when teaching.,How often does your teacher do these things? - My teacher asks about students’ home life.,How often does your teacher do these things? - My teacher asks about ways that students’ cultures may be different from others.,How often does your teacher do these things? - My teacher helps students learn about other students and their cultures.,To what extent do you agree or disagree with the following statements? - This math class is a happy place for me to be.,To what extent do you agree or disagree with the following statements? - Being in this math class makes me feel sad or angry.,To what extent do you agree or disagree with the following statements? - The things we have done in math this year are interesting.,"To what extent do you agree or disagree with the following statements? - Because of this teacher, I am learning to love math.",To what extent do you agree or disagree with the following statements? - I enjoy math class this year.,To what extent do you agree or disagree with the following statements? - My teacher makes me feel that he/she really cares about me.,To what extent do you agree or disagree with the following statements? - I like the way my teacher treats me when I need help.,"To what extent do you agree or disagree with the following statements? - Even when math is hard, I know I can learn it.",To what extent do you agree or disagree with the following statements? - I can do almost all the math in this class if I don't give up.,To what extent do you agree or disagree with the following statements? - I'm certain I can master the math skills taught in this class.,"To what extent do you agree or disagree with the following statements? - When doing work for this math class, I focus on learning not time work takes.",To what extent do you agree or disagree with the following statements? - I have been able to figure out the most difficult work in this math class.,To what extent are the following statements true or not true? - My teacher makes sure that I try to do my best.,"To what extent are the following statements true or not true? - In this class, we learn a lot almost every day.","To what extent are the following statements true or not true? - In this class, we learn to correct our mistakes.","To what extent are the following statements true or not true? - In this class, my teacher accepts nothing less than our full effort.","To what extent are the following statements true or not true? - My teacher wants us to use our thinking skills, not just memorize things."
student_56,teacher_5,post,2000,Clovis Municipal Schools,Male,No,NA,NA,NA,NA,White,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_51,teacher_5,post,1900,Clovis Municipal Schools,Male,Yes,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,Almost always,7,5- Always,5- Always,4- A lot,4- A lot,5- Always,5- Always,4- A lot,4- A lot,5- Agree,2- Somewhat disagree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_45,teacher_5,post,1800,Clovis Municipal Schools,Male,No,NA,NA,NA,Asian,NA,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,2- Somewhat disagree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,4- Somewhat agree,5- Agree,5- Totally true,5- Totally true,4- Mostly true,5- Totally true,5- Totally true
student_37,teacher_5,post,1700,Clovis Municipal Schools,Female,No,NA,NA,NA,Asian,NA,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_29,teacher_5,post,1600,Clovis Municipal Schools,Male,No,NA,NA,NA,NA,White,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_22,teacher_5,post,1500,Clovis Municipal Schools,Prefer not to answer,No,NA,NA,Black or African American,NA,NA,NA,NA,Almost always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_18,teacher_5,post,1400,Clovis Municipal Schools,Prefer not to answer,Yes,NA,Native Hawaiian or other Pacific Islander,NA,NA,NA,NA,NA,Almost always,7,4- A lot,4- A lot,4- A lot,4- A lot,5- Always,5- Always,4- A lot,5- Always,5- Agree,3- Neither disagree nor agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,5- Totally true,4- Mostly true,5- Totally true,5- Totally true,4- Mostly true
student_14,teacher_5,post,1300,Clovis Municipal Schools,Male,No,NA,NA,NA,Asian,NA,NA,NA,NA,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,2- Somewhat disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_10,teacher_5,post,1200,Clovis Municipal Schools,Female,No,NA,NA,NA,Asian,NA,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_6,teacher_5,post,1100,Clovis Municipal Schools,Female,No,NA,NA,NA,NA,White,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_3,teacher_5,post,1000,Clovis Municipal Schools,Male,Yes,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,Almost always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_204,teacher_5,post,900,Clovis Municipal Schools,Male,Yes,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,Almost always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_187,teacher_5,post,800,Clovis Municipal Schools,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_166,teacher_5,post,700,Clovis Municipal Schools,Female,No,NA,NA,Black or African American,NA,NA,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_141,teacher_5,post,600,Clovis Municipal Schools,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_125,teacher_5,post,500,Clovis Municipal Schools,Male,No,NA,NA,Black or African American,NA,NA,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_101,teacher_5,post,400,Clovis Municipal Schools,Female,No,NA,NA,NA,NA,White,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_81,teacher_5,post,300,Clovis Municipal Schools,Female,No,NA,NA,NA,NA,White,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_55,teacher_5,post,200,Clovis Municipal Schools,Male,No,NA,NA,NA,NA,White,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_2,teacher_5,post,100,Clovis Municipal Schools,Male,No,NA,NA,NA,NA,White,NA,NA,Always,7,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_9,teacher_20,post,12,Pojoaque Valley School District,Female,No,NA,NA,NA,NA,White,NA,NA,Always,11,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_28,teacher_20,post,16,Pojoaque Valley School District,Male,No,NA,NA,NA,NA,White,NA,NA,Always,11,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- A lot,4- Somewhat agree,2- Somewhat disagree,4- Somewhat agree,4- Somewhat agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_165,teacher_20,post,7,Pojoaque Valley School District,Female,Yes,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,Almost always,11,4- A lot,4- A lot,4- A lot,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Totally true,4- Mostly true,5- Totally true,4- Mostly true,5- Totally true
student_54,teacher_20,post,2,Pojoaque Valley School District,Male,No,NA,NA,NA,NA,White,NA,NA,Always,11,4- A lot,5- Always,5- Always,5- Always,4- A lot,4- A lot,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_1,teacher_20,post,1,Pojoaque Valley School District,Male,No,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,Always,11,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_77,teacher_10,post,284965,Digital Arts and Technology Academy (State-Charter),Male,No,NA,NA,NA,NA,White,NA,NA,Always,9,4- A lot,5- Always,5- Always,5- Always,3- Sometimes,2- Rarely,3- Sometimes,3- Sometimes,4- Somewhat agree,2- Somewhat disagree,5- Agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Mostly true,5- Totally true,4- Mostly true,5- Totally true,5- Totally true
student_91,teacher_10,post,364589,Digital Arts and Technology Academy (State-Charter),Male,No,NA,NA,NA,NA,NA,NA,Native American ,Always,9,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Always,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_144,teacher_10,post,622218,Digital Arts and Technology Academy (State-Charter),Female,No,NA,NA,NA,NA,White,NA,NA,Always,9,4- A lot,4- A lot,5- Always,5- Always,2- Rarely,3- Sometimes,2- Rarely,4- A lot,4- Somewhat agree,2- Somewhat disagree,4- Somewhat agree,2- Somewhat disagree,2- Somewhat disagree,4- Somewhat agree,5- Agree,3- Neither disagree nor agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Totally true,4- Mostly true,5- Totally true,3- Neither untrue nor true,5- Totally true
student_95,teacher_10,post,386383,Digital Arts and Technology Academy (State-Charter),Female,Yes,NA,NA,NA,NA,NA,More than one race,NA,Always,10,2- Rarely,4- A lot,5- Always,4- A lot,3- Sometimes,3- Sometimes,4- A lot,3- Sometimes,3- Neither disagree nor agree,2- Somewhat disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither untrue nor true,3- Neither untrue nor true,3- Neither untrue nor true,3- Neither untrue nor true,3- Neither untrue nor true
student_58,teacher_10,post,203680,Digital Arts and Technology Academy (State-Charter),Male,Yes,NA,NA,NA,NA,White,More than one race,NA,Always,9,3- Sometimes,4- A lot,5- Always,4- A lot,2- Rarely,3- Sometimes,3- Sometimes,3- Sometimes,2- Somewhat disagree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,2- Somewhat disagree,2- Somewhat disagree,3- Neither disagree nor agree,2- Somewhat disagree,4- Mostly true,4- Mostly true,4- Mostly true,2- Mostly untrue,5- Totally true
student_128,teacher_9,post,528586324,Raton Public Schools,Female,Yes,NA,NA,NA,NA,White,More than one race,NA,Almost always,6,2- Rarely,4- A lot,5- Always,3- Sometimes,4- A lot,3- Sometimes,3- Sometimes,3- Sometimes,2- Somewhat disagree,4- Somewhat agree,5- Agree,3- Neither disagree nor agree,2- Somewhat disagree,4- Somewhat agree,3- Neither disagree nor agree,2- Somewhat disagree,3- Neither disagree nor agree,1- Disagree,3- Neither disagree nor agree,4- Somewhat agree,3- Neither untrue nor true,3- Neither untrue nor true,3- Neither untrue nor true,2- Mostly untrue,3- Neither untrue nor true
student_198,teacher_9,post,866545486,Raton Public Schools,Male,Yes,NA,NA,NA,NA,NA,More than one race,NA,Always,NA,4- A lot,4- A lot,3- Sometimes,4- A lot,3- Sometimes,3- Sometimes,3- Sometimes,3- Sometimes,4- Somewhat agree,1- Disagree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_175,teacher_9,post,723647384,Raton Public Schools,Prefer not to answer,Yes,NA,NA,NA,NA,NA,More than one race,NA,Always,6,4- A lot,3- Sometimes,4- A lot,5- Always,1- Never,2- Rarely,1- Never,1- Never,3- Neither disagree nor agree,4- Somewhat agree,2- Somewhat disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,NA,5- Agree,4- Somewhat agree,5- Agree,1- Disagree,4- Somewhat agree,4- Mostly true,3- Neither untrue nor true,4- Mostly true,5- Totally true,5- Totally true
student_151,teacher_9,post,646421958,Raton Public Schools,Female,Yes,American Indian or Alaska Native,NA,NA,NA,White,More than one race,NA,Always,6,2- Rarely,2- Rarely,5- Always,3- Sometimes,3- Sometimes,2- Rarely,2- Rarely,4- A lot,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,3- Neither disagree nor agree,2- Somewhat disagree,3- Neither untrue nor true,2- Mostly untrue,3- Neither untrue nor true,3- Neither untrue nor true,4- Mostly true
student_161,teacher_9,post,688732320,Raton Public Schools,Female,Yes,NA,NA,NA,NA,NA,More than one race,NA,Always,6,5- Always,5- Always,5- Always,5- Always,5- Always,1- Never,3- Sometimes,4- A lot,5- Agree,1- Disagree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,4- Mostly true
student_185,teacher_9,post,792343543,Raton Public Schools,Male,No,American Indian or Alaska Native,NA,NA,NA,NA,NA,NA,Always,6,3- Sometimes,4- A lot,5- Always,5- Always,4- A lot,3- Sometimes,2- Rarely,1- Never,5- Agree,NA,2- Somewhat disagree,2- Somewhat disagree,4- Somewhat agree,2- Somewhat disagree,2- Somewhat disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,2- Somewhat disagree,4- Mostly true,4- Mostly true,4- Mostly true,4- Mostly true,4- Mostly true
student_130,teacher_9,post,542473632,Raton Public Schools,Female,Yes,NA,NA,NA,NA,NA,More than one race,NA,Always,6,3- Sometimes,3- Sometimes,5- Always,4- A lot,3- Sometimes,3- Sometimes,2- Rarely,3- Sometimes,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,3- Neither disagree nor agree,5- Agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,2- Somewhat disagree,4- Somewhat agree,3- Neither disagree nor agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,4- Mostly true
student_186,teacher_9,post,793252453,Raton Public Schools,Female,Yes,NA,NA,NA,NA,NA,More than one race,NA,Always,6,5- Always,4- A lot,5- Always,5- Always,1- Never,3- Sometimes,3- Sometimes,1- Never,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Agree,4- Somewhat agree,2- Somewhat disagree,4- Somewhat agree,3- Neither disagree nor agree,5- Agree,2- Somewhat disagree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
student_99,teacher_9,post,393883434,Raton Public Schools,Male,Yes,American Indian or Alaska Native,NA,NA,NA,NA,More than one race,mexican,Almost always,6,5- Always,5- Always,5- Always,5- Always,1- Never,2- Rarely,1- Never,2- Rarely,5- Agree,1- Disagree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,4- Mostly true,5- Totally true,5- Totally true,5- Totally true
student_7,teacher_8,post,1111,Raton Public Schools,Male,Yes,American Indian or Alaska Native,NA,Black or African American,NA,NA,More than one race,NA,Almost always,6,5- Always,4- A lot,1- Never,5- Always,4- A lot,5- Always,1- Never,5- Always,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Totally true,5- Totally true,4- Mostly true,5- Totally true,5- Totally true
student_142,teacher_8,post,606,Raton Public Schools,Female,Yes,American Indian or Alaska Native,NA,NA,NA,White,More than one race,German Apache Portuguese     ,Always,6,5- Always,4- A lot,5- Always,4- A lot,1- Never,3- Sometimes,1- Never,1- Never,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,1- Disagree,1- Disagree,2- Somewhat disagree,3- Neither disagree nor agree,1- Disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither untrue nor true,3- Neither untrue nor true,4- Mostly true,3- Neither untrue nor true,3- Neither untrue nor true
student_15,teacher_8,post,1313,Raton Public Schools,Female,Yes,American Indian or Alaska Native,NA,Black or African American,NA,White,More than one race,i dont know the rest of them,Almost always,6,4- A lot,4- A lot,5- Always,5- Always,3- Sometimes,4- A lot,3- Sometimes,4- A lot,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Somewhat agree,4- Somewhat agree,3- Neither disagree nor agree,4- Somewhat agree,4- Mostly true,4- Mostly true,5- Totally true,4- Mostly true,3- Neither untrue nor true
student_19,teacher_8,post,1414,Raton Public Schools,Female,Yes,NA,NA,NA,NA,NA,NA,mexican and hicpanc,Always,6,3- Sometimes,5- Always,4- A lot,3- Sometimes,4- A lot,2- Rarely,3- Sometimes,3- Sometimes,5- Agree,3- Neither disagree nor agree,5- Agree,3- Neither disagree nor agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,4- Mostly true,5- Totally true
student_57,teacher_8,post,202,Raton Public Schools,Female,Yes,NA,NA,NA,NA,NA,More than one race,NA,Always,6,4- A lot,5- Always,5- Always,5- Always,4- A lot,5- Always,5- Always,5- Always,5- Agree,1- Disagree,4- Somewhat agree,4- Somewhat agree,5- Agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Agree,4- Somewhat agree,5- Agree,5- Totally true,5- Totally true,5- Totally true,4- Mostly true,5- Totally true
student_31,teacher_8,post,1616,Raton Public Schools,Male,Yes,NA,NA,NA,NA,NA,More than one race,"hispanic,german,indian ",Sometimes,6,5- Always,5- Always,5- Always,5- Always,5- Always,2- Rarely,3- Sometimes,5- Always,3- Neither disagree nor agree,4- Somewhat agree,1- Disagree,4- Somewhat agree,3- Neither disagree nor agree,5- Agree,5- Agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,4- Somewhat agree,5- Totally true,5- Totally true,5- Totally true,5- Totally true,5- Totally true
